disaster_type,severity_score,affected_population,country,gdp_per_capita,infrastructure_density,casualties,economic_damage_million_usd
volcano,0.538,1490,Brazil,8700,0.187,3,0.01
volcano,0.208,90476,Brazil,8700,0.451,292,0.14
tsunami,0.896,14463,Turkey,9600,0.656,35,0.06
landslide,0.67,449,Chile,15000,0.695,0,0.01
volcano,0.176,987,Philippines,3500,0.934,0,0.0
volcano,0.992,161702,Turkey,9600,0.967,424,4.06
drought,0.83,31829,Brazil,8700,0.833,91,0.36
drought,0.534,13030,Bangladesh,2500,0.789,38,0.02
drought,0.155,33412,Indonesia,4300,0.579,24,0.03
earthquake,0.019,65613,USA,63000,0.751,1,0.17
wildfire,0.201,43232,Mexico,10000,0.703,112,0.05
tsunami,0.414,30221,Australia,55000,0.846,23,1.4
wildfire,0.699,111508,Mexico,10000,0.428,334,0.61
landslide,0.642,16248,Nigeria,2100,0.612,76,0.01
landslide,0.827,17366,Nepal,1200,0.957,96,0.03
volcano,0.163,128985,India,2100,0.247,219,0.01
flood,0.729,4673,Nepal,1200,0.759,11,0.01
wildfire,0.893,17409,Brazil,8700,0.863,18,0.12
volcano,0.116,80847,Indonesia,4300,0.626,48,0.05
earthquake,0.185,38534,USA,63000,0.462,27,0.47
drought,0.231,54860,Indonesia,4300,0.98,73,0.07
earthquake,0.996,22956,Philippines,3500,0.853,137,0.22
tsunami,0.703,17639,Brazil,8700,0.829,28,0.24
tornado,0.547,9406,Haiti,1400,0.661,46,0.01
wildfire,0.395,48760,China,12500,0.281,57,0.16
hurricane,0.068,25776,Nigeria,2100,0.291,4,0.0
tornado,0.704,67928,Nepal,1200,0.419,263,0.04
tornado,0.617,13838,USA,63000,0.153,16,0.26
earthquake,0.76,37129,Nepal,1200,0.111,91,0.02
drought,0.186,56939,India,2100,0.791,43,0.03
volcano,0.518,43542,Japan,40000,0.196,79,0.48
tsunami,0.621,36113,Nepal,1200,0.529,128,0.03
tsunami,0.471,45716,Mexico,10000,0.358,92,0.18
earthquake,0.645,101360,Nepal,1200,0.96,392,0.19
drought,0.645,34729,Japan,40000,0.963,66,3.06
landslide,0.419,19213,China,12500,0.146,18,0.05
hurricane,0.628,42251,Philippines,3500,0.316,218,0.11
wildfire,0.723,25340,Haiti,1400,0.137,140,0.03
hurricane,0.271,24139,Turkey,9600,0.241,20,0.06
hurricane,0.496,37276,India,2100,0.106,153,0.02
wildfire,0.186,30488,Indonesia,4300,0.862,23,0.03
flood,0.132,107005,USA,63000,0.755,13,1.21
tornado,0.315,25635,Nepal,1200,0.778,19,0.01
flood,0.398,16599,Indonesia,4300,0.249,16,0.02
tornado,0.469,11670,Haiti,1400,0.476,33,0.01
wildfire,0.861,16580,Bangladesh,2500,0.256,60,0.01
hurricane,0.812,10016,Mexico,10000,0.421,10,0.12
volcano,0.321,89757,Turkey,9600,0.568,374,0.24
tsunami,0.879,121555,Philippines,3500,0.614,520,1.05
volcano,0.055,3603,Brazil,8700,0.643,0,0.01
drought,0.305,26282,Turkey,9600,0.619,71,0.02
tsunami,0.197,16006,Indonesia,4300,0.442,25,0.03
tsunami,0.409,5614,Philippines,3500,0.162,15,0.0
earthquake,0.643,63645,Turkey,9600,0.986,225,0.48
tornado,0.399,125326,India,2100,0.234,119,0.15
drought,0.273,60845,Philippines,3500,0.125,102,0.09
earthquake,0.026,91101,Haiti,1400,0.717,14,0.01
tornado,0.957,7412,Philippines,3500,0.101,97,0.01
earthquake,0.843,16236,Japan,40000,0.794,36,0.56
flood,0.646,15706,Turkey,9600,0.854,19,0.04
flood,0.973,22011,Bangladesh,2500,0.905,96,0.06
tornado,0.481,62591,China,12500,0.798,164,0.44
tsunami,0.969,62684,Nepal,1200,0.151,199,0.06
landslide,0.903,57449,Japan,40000,0.474,175,1.8
tornado,0.778,52890,Nepal,1200,0.359,217,0.04
volcano,0.17,30400,Bangladesh,2500,0.948,11,0.03
hurricane,0.9,3620,India,2100,0.862,11,0.01
flood,0.811,109446,Turkey,9600,0.143,1119,0.84
tsunami,0.486,43859,Chile,15000,0.461,241,0.27
tornado,0.649,104,Bangladesh,2500,0.963,0,0.0
tornado,0.931,28551,Pakistan,1500,0.354,58,0.02
tsunami,0.679,70816,Indonesia,4300,0.502,161,0.33
tsunami,0.037,56764,Bangladesh,2500,0.643,2,0.01
tsunami,0.609,24478,Nepal,1200,0.138,122,0.01
tornado,0.814,3729,Japan,40000,0.309,9,0.06
wildfire,0.787,6058,Philippines,3500,0.442,144,0.01
tsunami,0.194,23675,Pakistan,1500,0.365,36,0.01
hurricane,0.126,7432,Philippines,3500,0.315,3,0.0
volcano,0.714,186268,India,2100,0.715,1008,0.42
hurricane,0.721,24808,Nepal,1200,0.967,48,0.01
drought,0.283,104339,China,12500,0.306,83,0.18
tornado,0.849,14340,Indonesia,4300,0.376,47,0.05
volcano,0.351,254876,Pakistan,1500,0.427,864,0.15
drought,0.306,84672,Mexico,10000,0.861,65,0.79
tsunami,0.196,44391,Nigeria,2100,0.207,127,0.01
hurricane,0.061,24238,Bangladesh,2500,0.769,5,0.01
flood,0.805,35637,Mexico,10000,0.117,175,0.1
hurricane,0.543,7350,Pakistan,1500,0.266,32,0.01
wildfire,0.763,101993,Mexico,10000,0.506,470,1.04
flood,0.388,106712,India,2100,0.937,104,0.15
hurricane,0.767,30729,Bangladesh,2500,0.848,48,0.06
tsunami,0.562,911,Indonesia,4300,0.385,4,0.0
tsunami,0.083,64617,Bangladesh,2500,0.389,62,0.02
wildfire,0.159,39368,Australia,55000,0.803,7,0.49
earthquake,0.337,57704,Brazil,8700,0.303,71,0.31
drought,0.195,1908,Nepal,1200,0.374,3,0.0
tsunami,0.966,23799,USA,63000,0.517,36,2.26
flood,0.944,6711,Australia,55000,0.941,21,0.13
volcano,0.454,2093,USA,63000,0.898,0,0.07
tsunami,0.104,98235,Pakistan,1500,0.536,77,0.01
drought,0.052,44744,Turkey,9600,0.406,21,0.02
earthquake,0.257,55347,Nigeria,2100,0.307,31,0.03
hurricane,0.573,3399,Nigeria,2100,0.316,7,0.0
flood,0.961,6621,Philippines,3500,0.585,39,0.03
wildfire,0.807,79402,India,2100,0.902,416,0.13
flood,0.336,15220,India,2100,0.321,8,0.01
drought,0.301,37976,China,12500,0.748,127,0.31
flood,0.01,34498,Haiti,1400,0.112,1,0.0
flood,0.194,25581,India,2100,0.504,25,0.01
tsunami,0.844,4307,Turkey,9600,0.367,8,0.05
volcano,0.997,21583,India,2100,0.525,133,0.04
tsunami,0.466,36359,Bangladesh,2500,0.96,59,0.08
tornado,0.329,79454,Mexico,10000,0.113,121,0.46
earthquake,0.596,99041,Mexico,10000,0.622,149,0.92
tornado,0.233,5124,Brazil,8700,0.291,9,0.02
landslide,0.226,59581,Brazil,8700,0.533,100,0.21
earthquake,0.144,5674,Australia,55000,0.174,3,0.05
tsunami,0.486,107119,Philippines,3500,0.692,233,0.21
flood,0.639,32978,Haiti,1400,0.881,16,0.03
tsunami,0.642,19428,Turkey,9600,0.328,28,0.08
flood,0.797,1300,Chile,15000,0.755,1,0.02
landslide,0.834,14037,Bangladesh,2500,0.27,65,0.01
tornado,0.423,49344,Mexico,10000,0.605,81,0.25
wildfire,0.095,19640,Brazil,8700,0.509,6,0.01
hurricane,0.595,9505,China,12500,0.7,37,0.07
landslide,0.154,61158,Australia,55000,0.705,35,0.87
tsunami,0.478,40676,USA,63000,0.808,11,1.15
earthquake,0.921,10199,Turkey,9600,0.427,50,0.17
drought,0.606,10467,India,2100,0.847,21,0.01
tsunami,0.532,1518,Indonesia,4300,0.541,10,0.0
flood,0.131,20951,Mexico,10000,0.202,40,0.02
flood,0.982,41462,Indonesia,4300,0.628,231,0.16
flood,0.879,4405,India,2100,0.442,25,0.02
earthquake,0.638,17023,Nigeria,2100,0.881,24,0.03
tornado,0.108,69151,Nepal,1200,0.902,29,0.01
earthquake,0.269,59546,Haiti,1400,0.27,279,0.02
tornado,0.926,35531,Nepal,1200,0.586,238,0.08
earthquake,0.172,9001,Mexico,10000,0.837,3,0.02
drought,0.705,19696,Haiti,1400,0.571,47,0.01
tornado,0.698,217343,USA,63000,0.718,132,8.51
tornado,0.922,169033,India,2100,0.802,256,0.67
tsunami,0.193,9731,Nepal,1200,0.756,17,0.0
earthquake,0.312,37140,USA,63000,0.342,30,0.39
landslide,0.916,182529,Chile,15000,0.563,1589,4.72
tsunami,0.149,165512,Philippines,3500,0.636,123,0.13
flood,0.642,71440,China,12500,0.331,255,0.58
tornado,0.691,30017,Japan,40000,0.661,60,1.12
earthquake,0.887,27024,India,2100,0.392,42,0.05
drought,0.098,1972,Philippines,3500,0.577,0,0.0
hurricane,0.69,11039,Turkey,9600,0.545,77,0.03
drought,0.469,32648,Nepal,1200,0.457,82,0.02
volcano,0.106,135884,Nepal,1200,0.201,137,0.01
drought,0.998,23986,Turkey,9600,0.696,169,0.33
earthquake,0.44,79236,Turkey,9600,0.53,339,0.7
hurricane,0.154,31989,Turkey,9600,0.407,32,0.05
volcano,0.246,44251,Indonesia,4300,0.192,38,0.08
volcano,0.357,54806,Indonesia,4300,0.553,158,0.14
earthquake,0.604,80415,Brazil,8700,0.564,216,0.66
earthquake,0.362,8770,India,2100,0.105,8,0.0
earthquake,0.164,72088,Haiti,1400,0.669,73,0.01
drought,0.999,74726,Indonesia,4300,0.649,257,0.25
drought,0.46,7895,China,12500,0.198,68,0.03
landslide,0.67,4716,Haiti,1400,0.431,11,0.0
tsunami,0.681,71619,USA,63000,0.798,23,2.08
flood,0.639,10251,Philippines,3500,0.506,46,0.02
earthquake,0.096,89241,Philippines,3500,0.589,114,0.02
flood,0.896,118366,USA,63000,0.438,188,2.93
hurricane,0.626,29756,USA,63000,0.503,29,0.53
flood,0.211,25408,Nepal,1200,0.663,14,0.01
landslide,0.218,14377,Indonesia,4300,0.391,20,0.03
wildfire,0.814,108454,Japan,40000,0.385,371,1.66
landslide,0.937,12599,Pakistan,1500,0.515,59,0.01
earthquake,0.709,18826,Nigeria,2100,0.775,20,0.05
flood,0.106,9518,China,12500,0.144,2,0.01
drought,0.305,49256,India,2100,0.866,165,0.05
tornado,0.224,119834,Indonesia,4300,0.471,113,0.23
tsunami,0.269,15884,Pakistan,1500,0.66,18,0.02
tornado,0.961,2454,Chile,15000,0.665,11,0.02
landslide,0.06,13464,Nigeria,2100,0.848,3,0.0
tornado,0.392,37351,Turkey,9600,0.237,217,0.16
volcano,0.328,252048,Brazil,8700,0.375,2574,0.41
flood,0.6,4844,Mexico,10000,0.477,16,0.04
landslide,0.047,7771,Pakistan,1500,0.637,2,0.0
hurricane,0.218,81413,Haiti,1400,0.752,43,0.02
tsunami,0.296,4208,India,2100,0.17,2,0.0
landslide,0.696,60899,Bangladesh,2500,0.98,50,0.08
earthquake,0.918,130836,China,12500,0.623,368,0.41
tornado,0.486,23035,Nepal,1200,0.952,23,0.03
wildfire,0.157,11864,Haiti,1400,0.202,6,0.0
tsunami,0.135,27131,Philippines,3500,0.66,5,0.01
drought,0.66,30604,China,12500,0.544,27,0.13
hurricane,0.503,47676,Mexico,10000,0.219,130,0.16
flood,0.799,17743,Haiti,1400,0.819,43,0.05
earthquake,0.878,29444,Brazil,8700,0.661,46,0.36
hurricane,0.549,11877,Bangladesh,2500,0.722,27,0.02
hurricane,0.136,36049,India,2100,0.338,17,0.01
flood,0.915,3313,Haiti,1400,0.786,16,0.0
drought,0.421,18332,Haiti,1400,0.127,20,0.01
landslide,0.937,7184,USA,63000,0.243,13,0.19
tornado,0.061,17541,China,12500,0.768,4,0.01
landslide,0.052,1699,USA,63000,0.351,0,0.0
earthquake,0.114,68246,Japan,40000,0.927,6,0.33
flood,0.512,25817,Philippines,3500,0.42,141,0.05
tsunami,0.371,1325,Japan,40000,0.406,1,0.02
earthquake,0.619,17539,Philippines,3500,0.653,33,0.13
volcano,0.728,8796,Turkey,9600,0.37,9,0.04
wildfire,0.312,116160,Mexico,10000,0.503,165,0.37
volcano,0.717,9577,Indonesia,4300,0.577,15,0.06
tornado,0.686,36071,India,2100,0.275,181,0.02
volcano,0.341,6051,Nigeria,2100,0.127,8,0.01
drought,0.494,107730,Philippines,3500,0.195,611,0.19
drought,0.075,48454,Brazil,8700,0.491,14,0.03
volcano,0.756,6705,Mexico,10000,0.916,33,0.09
landslide,0.778,120433,Bangladesh,2500,0.459,564,0.13
earthquake,0.606,31940,India,2100,0.419,111,0.05
flood,0.167,69262,Australia,55000,0.25,18,0.71
earthquake,0.01,74135,Australia,55000,0.829,1,0.05
earthquake,0.975,164246,Nigeria,2100,0.329,491,0.44
volcano,0.962,158638,Turkey,9600,0.499,189,1.82
landslide,0.689,72380,Mexico,10000,0.96,181,1.33
tsunami,0.686,34963,Mexico,10000,0.432,58,0.58
earthquake,0.925,71212,India,2100,0.516,107,0.1
wildfire,0.357,18393,Pakistan,1500,0.315,53,0.01
volcano,0.376,50037,Japan,40000,0.66,71,0.54
tornado,0.885,32101,Haiti,1400,0.285,57,0.04
drought,0.682,15091,Brazil,8700,0.887,159,0.11
tornado,0.438,29207,Chile,15000,0.879,33,0.25
tornado,0.354,11670,Japan,40000,0.154,18,0.08
volcano,0.396,9407,Haiti,1400,0.404,15,0.01
drought,0.792,57270,China,12500,0.706,104,0.6
hurricane,0.72,18693,Nigeria,2100,0.187,190,0.01
tsunami,0.2,35036,Pakistan,1500,0.151,61,0.01
tsunami,0.104,93285,Turkey,9600,0.877,35,0.1
tsunami,0.848,111943,Japan,40000,0.104,301,3.53
tornado,0.948,86619,Philippines,3500,0.273,313,0.18
volcano,0.276,5573,Haiti,1400,0.822,2,0.0
flood,0.845,11351,Australia,55000,0.246,50,0.45
wildfire,0.305,126127,Chile,15000,0.927,86,0.52
earthquake,0.754,70165,Nigeria,2100,0.394,658,0.09
volcano,0.452,71462,Bangladesh,2500,0.253,160,0.06
volcano,0.352,9155,Pakistan,1500,0.588,17,0.01
drought,0.124,29310,USA,63000,0.927,4,0.43
drought,0.418,38606,India,2100,0.809,27,0.05
landslide,0.298,38038,Australia,55000,0.199,10,0.3
tsunami,0.113,43593,USA,63000,0.833,5,0.3
landslide,0.801,39744,Japan,40000,0.88,40,1.06
hurricane,0.207,8000,Pakistan,1500,0.795,6,0.0
flood,0.27,116325,Mexico,10000,0.297,59,0.14
wildfire,0.293,44690,Turkey,9600,0.836,101,0.17
wildfire,0.771,59778,Nepal,1200,0.643,223,0.03
landslide,0.442,39650,Australia,55000,0.17,79,0.32
hurricane,0.03,71257,Nepal,1200,0.798,7,0.0
tsunami,0.865,10485,Turkey,9600,0.609,22,0.04
landslide,0.294,28704,Japan,40000,0.29,14,0.31
hurricane,0.44,21954,USA,63000,0.463,17,0.48
wildfire,0.415,22315,Bangladesh,2500,0.257,43,0.02
landslide,0.545,56205,Bangladesh,2500,0.744,74,0.09
hurricane,0.799,57287,Haiti,1400,0.784,283,0.05
volcano,0.884,17850,Brazil,8700,0.742,149,0.23
landslide,0.547,58659,Brazil,8700,0.424,106,0.15
wildfire,0.033,68676,Indonesia,4300,0.134,31,0.0
flood,0.39,128052,Japan,40000,0.416,253,2.18
tornado,0.119,79554,Nepal,1200,0.411,34,0.02
landslide,0.289,8932,India,2100,0.214,17,0.0
tornado,0.922,13034,Australia,55000,0.223,22,0.58
landslide,0.381,197231,China,12500,0.365,1210,1.41
earthquake,0.82,5472,Brazil,8700,0.692,9,0.08
flood,0.025,37162,Chile,15000,0.513,1,0.04
landslide,0.641,145110,Haiti,1400,0.719,557,0.34
earthquake,0.072,149611,Bangladesh,2500,0.996,9,0.03
hurricane,0.992,32307,Pakistan,1500,0.683,254,0.04
flood,0.23,25834,Australia,55000,0.172,19,0.26
tsunami,0.53,143046,Nepal,1200,0.776,223,0.14
wildfire,0.374,161952,Mexico,10000,0.269,350,0.3
tsunami,0.685,82269,India,2100,0.214,102,0.06
tornado,0.614,11237,Brazil,8700,0.242,40,0.04
wildfire,0.457,11771,Nigeria,2100,0.194,8,0.01
drought,0.847,23411,Bangladesh,2500,0.218,75,0.04
hurricane,0.823,62695,Haiti,1400,0.201,356,0.03
tsunami,0.366,48719,Chile,15000,0.841,84,0.3
tornado,0.735,16020,Japan,40000,0.939,10,0.32
flood,0.515,181324,Chile,15000,0.618,96,3.61
hurricane,0.72,35427,Brazil,8700,0.661,53,0.37
drought,0.696,45556,USA,63000,0.614,54,3.65
earthquake,0.509,31031,Haiti,1400,0.279,187,0.03
volcano,0.299,2455,USA,63000,0.82,1,0.08
flood,0.298,109709,Japan,40000,0.192,94,0.71
volcano,0.427,6273,Nigeria,2100,0.458,9,0.0
drought,0.289,30027,Chile,15000,0.147,196,0.03
tornado,0.995,11855,Turkey,9600,0.418,142,0.34
drought,0.739,27869,Indonesia,4300,0.768,67,0.1
tornado,0.074,25543,Chile,15000,0.127,12,0.02
hurricane,0.501,22464,Japan,40000,0.573,11,1.28
landslide,0.232,20228,USA,63000,0.896,5,0.69
tsunami,0.559,13557,India,2100,0.819,64,0.03
hurricane,0.044,1216,Japan,40000,0.673,0,0.0
wildfire,0.414,40914,Brazil,8700,0.558,254,0.34
tsunami,0.437,62626,Haiti,1400,0.263,130,0.06
hurricane,0.824,9422,Chile,15000,0.872,42,0.3
flood,0.038,36220,Bangladesh,2500,0.866,6,0.0
drought,0.937,36051,Nigeria,2100,0.826,207,0.13
drought,0.484,2981,USA,63000,0.112,2,0.02
wildfire,0.031,15382,Brazil,8700,0.172,1,0.0
landslide,0.706,13364,Indonesia,4300,0.47,27,0.03
tornado,0.719,64912,Nepal,1200,0.541,205,0.04
wildfire,0.171,79147,India,2100,0.338,126,0.03
tsunami,0.389,23836,Chile,15000,0.609,14,0.1
hurricane,0.712,18502,Brazil,8700,0.258,38,0.06
flood,0.641,28017,China,12500,0.584,92,0.23
landslide,0.055,36156,Nigeria,2100,0.668,15,0.0
hurricane,0.877,29536,China,12500,0.583,214,0.46
tornado,0.232,94982,Pakistan,1500,0.851,135,0.05
wildfire,0.909,60416,USA,63000,0.228,134,2.52
earthquake,0.637,9473,Haiti,1400,0.8,39,0.01
drought,0.984,7402,Pakistan,1500,0.84,29,0.03
landslide,0.31,47342,Pakistan,1500,0.937,142,0.02
hurricane,0.511,80847,Pakistan,1500,0.4,165,0.06
earthquake,0.871,79263,Haiti,1400,0.465,376,0.11
drought,0.886,120595,China,12500,0.132,971,0.34
volcano,0.661,211214,Mexico,10000,0.331,1961,1.09
hurricane,0.826,33604,Chile,15000,0.217,155,0.35
hurricane,0.317,41089,Philippines,3500,0.12,402,0.01
drought,0.356,27756,Australia,55000,0.847,12,1.81
hurricane,0.575,88227,Turkey,9600,0.882,118,0.34
earthquake,0.429,4738,Nepal,1200,0.174,18,0.0
earthquake,0.896,12653,USA,63000,0.679,26,0.77
volcano,0.958,115917,USA,63000,0.167,275,5.62
landslide,0.605,39032,Haiti,1400,0.191,171,0.02
drought,0.354,4173,China,12500,0.516,11,0.01
tsunami,0.596,15617,Bangladesh,2500,0.411,31,0.0
volcano,0.488,146816,Haiti,1400,0.786,257,0.13
tornado,0.334,22786,Bangladesh,2500,0.206,34,0.01
tsunami,0.514,4499,Philippines,3500,0.932,3,0.02
drought,0.859,18712,India,2100,0.6,174,0.08
flood,0.329,135776,Bangladesh,2500,0.412,296,0.14
flood,0.952,96312,USA,63000,0.42,386,7.54
hurricane,0.067,10242,USA,63000,0.415,0,0.03
earthquake,0.861,32000,Chile,15000,0.122,200,0.68
tornado,0.9,70019,Australia,55000,0.184,138,1.11
drought,0.857,98638,USA,63000,0.756,83,17.08
flood,0.496,8307,Haiti,1400,0.675,14,0.0
flood,0.027,87615,China,12500,0.169,37,0.01
tornado,0.777,6117,China,12500,0.185,11,0.03
tsunami,0.08,10785,Australia,55000,0.827,0,0.08
earthquake,0.922,3914,China,12500,0.926,10,0.09
hurricane,0.078,26024,Mexico,10000,0.358,6,0.03
wildfire,0.149,10509,Turkey,9600,0.852,23,0.01
earthquake,0.941,9442,USA,63000,0.161,61,0.31
volcano,0.539,90610,Nigeria,2100,0.197,250,0.06
volcano,0.33,17784,USA,63000,0.287,20,0.18
flood,0.143,24505,Pakistan,1500,0.738,45,0.01
tsunami,0.16,314132,Turkey,9600,0.517,154,0.41
wildfire,0.959,185187,USA,63000,0.187,304,6.12
volcano,0.052,12140,Pakistan,1500,0.117,5,0.0
tsunami,0.491,200002,Mexico,10000,0.977,283,2.3
earthquake,0.641,11414,Nepal,1200,0.76,28,0.01
tornado,0.143,22345,Haiti,1400,0.692,23,0.01
landslide,0.101,448,Nigeria,2100,0.881,0,0.0
landslide,0.805,46210,Philippines,3500,0.928,155,0.47
flood,0.542,55861,Nepal,1200,0.49,90,0.07
tsunami,0.296,6398,Haiti,1400,0.449,9,0.0
tsunami,0.476,141555,Indonesia,4300,0.937,186,0.3
wildfire,0.515,20927,Haiti,1400,0.651,64,0.01
drought,0.139,124619,Indonesia,4300,0.763,147,0.08
tornado,0.807,52878,Nepal,1200,0.751,537,0.09
earthquake,0.98,84943,Australia,55000,0.417,79,3.8
tornado,0.473,64882,Nigeria,2100,0.91,91,0.13
volcano,0.469,4561,Turkey,9600,0.107,8,0.01
wildfire,0.212,28203,Indonesia,4300,0.109,28,0.04
earthquake,0.09,828,Japan,40000,0.471,0,0.01
wildfire,0.729,30302,Turkey,9600,0.463,70,0.23
drought,0.112,35732,Turkey,9600,0.64,21,0.07
hurricane,0.843,39692,Philippines,3500,0.213,192,0.03
flood,0.626,42250,Chile,15000,0.664,138,0.24
tsunami,0.031,32832,India,2100,0.65,2,0.0
landslide,0.203,6658,Chile,15000,0.627,4,0.01
landslide,0.339,28230,Turkey,9600,0.172,61,0.03
flood,0.023,18522,Turkey,9600,0.895,1,0.0
earthquake,0.928,88266,Turkey,9600,0.711,818,1.48
flood,0.771,10812,Turkey,9600,0.185,37,0.05
landslide,0.575,101525,Bangladesh,2500,0.472,363,0.17
hurricane,0.853,21892,Australia,55000,0.689,26,1.18
drought,0.31,72834,China,12500,0.628,166,0.8
drought,0.133,103391,Haiti,1400,0.965,182,0.02
tsunami,0.154,95753,USA,63000,0.494,17,1.35
volcano,0.097,46171,Nigeria,2100,0.668,16,0.05
flood,0.636,2768,USA,63000,0.361,4,0.1
tsunami,0.011,51264,Turkey,9600,0.215,5,0.0
wildfire,0.742,28600,Philippines,3500,0.954,319,0.09
earthquake,0.702,86452,USA,63000,0.809,55,6.48
volcano,0.114,51314,Brazil,8700,0.509,19,0.04
volcano,0.575,51446,Philippines,3500,0.323,316,0.06
volcano,0.499,98255,Nepal,1200,0.25,511,0.05
landslide,0.148,86425,Japan,40000,0.94,6,0.49
landslide,0.812,104334,Australia,55000,0.159,154,3.12
earthquake,0.129,108204,Australia,55000,0.791,16,1.44
flood,0.649,43906,Turkey,9600,0.14,75,0.19
flood,0.203,11199,USA,63000,0.755,6,0.19
wildfire,0.694,55386,USA,63000,0.391,33,3.11
tsunami,0.42,92473,Nepal,1200,0.518,146,0.04
tornado,0.366,33393,Turkey,9600,0.717,42,0.23
earthquake,0.85,41667,Japan,40000,0.557,140,3.41
drought,0.104,39968,Indonesia,4300,0.348,42,0.02
hurricane,0.111,8355,Indonesia,4300,0.876,3,0.01
tornado,0.495,1753,Nepal,1200,0.43,6,0.0
wildfire,0.267,145635,Turkey,9600,0.697,120,0.48
earthquake,0.0,20661,Nepal,1200,0.388,0,0.0
wildfire,0.938,20915,Turkey,9600,0.637,60,0.16
earthquake,0.096,3900,Haiti,1400,0.974,2,0.0
hurricane,0.7,74292,India,2100,0.912,305,0.08
wildfire,0.248,63986,Haiti,1400,0.625,69,0.06
hurricane,0.729,97492,Bangladesh,2500,0.906,230,0.31
hurricane,0.625,6524,Nigeria,2100,0.297,34,0.01
wildfire,0.061,38044,Japan,40000,0.226,6,0.05
hurricane,0.988,45562,Nigeria,2100,0.69,313,0.14
earthquake,0.023,19616,Japan,40000,0.357,1,0.01
volcano,0.139,6673,Chile,15000,0.375,2,0.0
wildfire,0.136,16288,Bangladesh,2500,0.543,10,0.01
flood,0.741,38029,Pakistan,1500,0.498,51,0.04
flood,0.995,38166,Australia,55000,0.583,31,1.69
earthquake,0.842,9512,Australia,55000,0.466,13,1.31
tornado,0.676,26871,Australia,55000,0.508,21,0.44
earthquake,0.392,49595,China,12500,0.794,22,0.92
hurricane,0.178,32652,Japan,40000,0.487,25,0.12
volcano,0.885,44114,Pakistan,1500,0.647,191,0.02
tsunami,0.385,19298,Mexico,10000,0.293,23,0.03
flood,0.869,9403,Nigeria,2100,0.38,39,0.03
tornado,0.921,4354,Chile,15000,0.961,6,0.12
tornado,0.678,215954,Bangladesh,2500,0.627,417,0.17
tornado,0.034,402,Nepal,1200,0.801,0,0.0
drought,0.941,53677,Nepal,1200,0.941,393,0.32
tornado,0.748,22981,Brazil,8700,0.535,106,0.13
flood,0.047,24684,Nigeria,2100,0.676,2,0.0
earthquake,0.359,58130,Australia,55000,0.622,99,4.52
hurricane,0.25,692,Mexico,10000,0.34,0,0.0
drought,0.157,198775,Mexico,10000,0.44,284,0.14
flood,0.606,15204,Pakistan,1500,0.504,42,0.01
hurricane,0.722,65156,India,2100,0.122,995,0.03
hurricane,0.905,27402,Brazil,8700,0.367,172,0.16
tornado,0.459,25912,USA,63000,0.86,24,3.09
landslide,0.856,14381,Turkey,9600,0.372,94,0.12
drought,0.387,15642,Nepal,1200,0.102,16,0.0
tsunami,0.831,20410,Pakistan,1500,0.343,41,0.02
volcano,0.386,93126,Mexico,10000,0.751,63,0.23
flood,0.019,69507,India,2100,0.136,10,0.0
flood,0.027,119471,USA,63000,0.449,2,0.17
volcano,0.567,67420,Haiti,1400,0.241,203,0.05
earthquake,0.757,42173,Philippines,3500,0.319,269,0.11
hurricane,0.272,29824,Brazil,8700,0.716,19,0.19
flood,0.1,26272,Indonesia,4300,0.249,34,0.0
tornado,0.69,230095,Mexico,10000,0.511,2136,1.57
earthquake,0.726,19554,Mexico,10000,0.393,91,0.11
hurricane,0.097,22334,Bangladesh,2500,0.311,18,0.0
tornado,0.793,7354,India,2100,0.785,23,0.02
earthquake,0.776,39224,Brazil,8700,0.598,93,0.39
hurricane,0.108,14994,India,2100,0.392,10,0.0
landslide,0.021,36461,Pakistan,1500,0.75,3,0.0
flood,0.248,237703,Pakistan,1500,0.111,171,0.07
drought,0.147,9628,India,2100,0.731,4,0.0
drought,0.266,36712,China,12500,0.328,106,0.12
tsunami,0.236,39051,Australia,55000,0.491,23,0.43
drought,0.973,15532,India,2100,0.103,165,0.01
drought,0.589,9045,Nigeria,2100,0.705,31,0.01
drought,0.144,44349,Chile,15000,0.574,21,0.1
drought,0.785,27334,Philippines,3500,0.771,75,0.16
landslide,0.816,14067,Brazil,8700,0.269,75,0.21
volcano,0.469,109886,Mexico,10000,0.165,758,0.3
flood,0.859,19396,Nigeria,2100,0.574,96,0.04
volcano,0.377,30305,Japan,40000,0.995,14,0.47
wildfire,0.224,141606,Japan,40000,0.289,131,1.18
volcano,0.592,11541,Australia,55000,0.265,5,0.2
earthquake,0.348,29494,Australia,55000,0.769,13,0.35
drought,0.576,219961,Pakistan,1500,0.462,344,0.13
earthquake,0.929,443,USA,63000,0.378,1,0.02
tsunami,0.332,18542,Australia,55000,0.637,3,0.25
tornado,0.593,7712,Brazil,8700,0.477,14,0.04
tornado,0.984,16246,USA,63000,0.441,40,1.02
tsunami,0.108,131342,India,2100,0.438,35,0.06
flood,0.775,104632,Nigeria,2100,0.177,340,0.13
landslide,0.379,67927,Turkey,9600,0.58,91,0.13
wildfire,0.962,34632,Philippines,3500,0.889,238,0.19
tornado,0.54,5449,Pakistan,1500,0.268,10,0.0
tsunami,0.332,64836,Brazil,8700,0.552,418,0.18
hurricane,0.871,6557,Japan,40000,0.503,13,0.25
