disaster_type,current_area_km2,wind_speed,wind_direction,terrain_type,elevation_m,vegetation_density,days_active,predicted_area_km2
flood,14.41,37.7,269.7,mountainous,2449.4,0.738,20,23.56
wildfire,33.18,25.9,127.5,forested,1697.2,0.431,11,39.48
flood,107.58,38.4,150.5,hilly,2578.4,0.088,24,205.29
wildfire,7.62,25.7,234.5,forested,2126.4,0.77,15,10.79
wildfire,88.25,0.0,75.8,coastal,1311.5,0.424,2,88.25
wildfire,17.39,31.9,283.0,forested,793.9,0.677,13,49.14
wildfire,36.08,40.3,242.2,forested,1831.4,0.921,9,61.78
flood,7.46,29.0,127.5,hilly,795.9,0.405,11,13.31
wildfire,8.97,24.3,186.3,coastal,1045.5,0.066,9,11.71
wildfire,97.35,33.3,118.8,urban,2233.8,0.523,22,97.35
wildfire,76.9,32.3,121.6,flat,621.4,0.251,24,165.83
wildfire,106.68,40.0,196.1,urban,1474.8,0.989,2,130.12
wildfire,12.11,16.2,163.2,coastal,1072.4,0.696,1,16.16
flood,103.11,17.3,356.2,mountainous,1589.5,0.662,6,175.09
wildfire,18.37,30.7,258.4,urban,2218.2,0.903,6,18.37
flood,48.32,40.1,176.0,forested,2633.8,0.266,4,111.68
wildfire,4.76,66.7,241.3,coastal,1560.1,0.826,3,12.15
flood,34.2,41.9,290.5,forested,291.7,0.423,9,95.92
flood,9.78,24.3,167.9,forested,66.9,0.283,29,20.61
flood,16.57,19.5,195.1,hilly,1616.1,0.479,4,18.76
flood,141.9,15.0,140.2,hilly,2433.1,0.127,13,270.42
flood,10.22,4.1,17.3,hilly,810.3,0.871,24,14.52
wildfire,77.27,27.8,174.7,hilly,741.8,0.1,19,131.76
flood,50.65,9.9,353.2,flat,2756.8,0.766,16,61.55
flood,138.11,28.7,38.0,hilly,1107.1,0.307,16,289.76
wildfire,6.98,34.3,314.5,flat,2805.3,0.887,29,9.51
wildfire,39.18,29.6,87.9,forested,625.5,0.214,14,65.5
flood,82.1,0.0,133.4,urban,2715.2,0.543,3,82.1
wildfire,28.23,20.8,201.3,mountainous,35.9,0.506,4,37.8
flood,98.32,4.5,59.5,hilly,2775.0,0.746,21,98.98
flood,48.57,27.1,49.1,forested,2839.7,0.966,25,54.46
wildfire,17.02,35.5,342.2,coastal,2485.1,0.393,9,17.02
flood,52.59,37.7,46.8,urban,962.7,0.224,16,91.25
flood,34.93,38.4,281.3,coastal,2146.2,0.916,4,66.87
flood,30.82,20.5,276.6,urban,772.5,0.099,26,30.82
wildfire,102.92,10.6,1.1,hilly,2877.2,0.478,18,102.92
wildfire,18.0,4.9,290.3,flat,48.5,0.153,2,18.0
flood,30.92,39.8,262.8,hilly,2372.0,0.471,24,57.97
flood,10.7,17.4,266.1,flat,1316.3,0.597,16,14.21
flood,51.54,8.7,173.9,forested,10.6,0.808,14,85.3
flood,41.64,52.7,269.7,flat,2255.2,0.661,5,109.88
wildfire,175.31,4.2,134.0,forested,2398.6,0.133,2,175.31
flood,11.86,18.8,51.9,coastal,1722.4,0.196,20,17.67
wildfire,90.62,22.0,110.5,forested,1349.4,0.751,14,125.5
wildfire,8.02,14.4,62.2,coastal,2292.2,0.504,2,8.02
flood,47.32,11.3,257.4,forested,1713.2,0.132,17,59.18
flood,8.08,41.5,90.9,urban,2482.3,0.014,28,12.01
wildfire,2.59,32.1,179.1,urban,488.3,0.813,19,4.19
flood,66.86,60.6,41.0,coastal,1831.1,0.93,17,162.67
flood,74.16,5.3,103.3,flat,597.5,0.935,6,98.17
wildfire,16.14,16.4,33.3,mountainous,2379.2,0.922,23,16.14
flood,11.9,59.6,166.4,flat,2100.3,0.112,3,36.12
flood,33.35,35.5,138.3,coastal,1142.4,0.155,17,73.33
flood,46.25,37.0,312.7,hilly,650.6,0.481,8,101.2
wildfire,29.63,36.2,10.1,flat,956.0,0.649,21,46.02
wildfire,20.48,18.2,253.5,urban,555.9,0.417,6,26.18
flood,8.0,15.1,107.4,coastal,1927.5,0.463,20,11.44
flood,8.66,23.7,96.0,urban,913.3,0.17,27,15.41
flood,17.08,24.6,277.4,coastal,1209.4,0.283,3,32.9
wildfire,38.69,1.2,193.2,hilly,137.7,0.523,14,44.36
flood,30.2,28.9,303.1,coastal,2007.0,0.399,27,51.17
wildfire,10.29,11.3,267.4,flat,757.8,0.642,21,11.73
flood,47.04,21.6,249.0,coastal,385.3,0.13,7,87.31
flood,27.12,14.2,284.0,coastal,103.1,0.482,13,38.0
flood,4.52,15.0,116.2,forested,1095.7,0.132,20,8.27
flood,62.16,7.6,15.3,mountainous,1745.6,0.317,11,70.48
wildfire,107.21,27.6,296.5,flat,828.1,0.84,8,234.76
wildfire,173.45,22.1,333.8,urban,2145.3,0.162,12,173.45
flood,4.18,26.7,295.9,urban,429.2,0.478,4,5.9
flood,4.87,16.5,326.3,coastal,1414.5,0.388,21,10.18
wildfire,34.14,34.8,72.2,urban,850.5,0.0,29,41.06
flood,160.3,35.2,281.3,hilly,483.2,0.877,8,355.25
flood,32.41,42.4,358.4,forested,2483.1,0.672,23,89.54
flood,39.05,6.5,119.6,flat,206.9,0.176,3,67.06
wildfire,54.89,36.5,53.0,urban,2408.2,0.863,25,61.3
wildfire,22.03,28.2,200.6,urban,2063.5,0.844,27,22.03
wildfire,8.51,3.1,120.9,flat,477.1,0.645,10,9.68
wildfire,23.46,31.7,176.3,mountainous,518.3,0.885,17,39.91
flood,27.18,30.5,168.6,hilly,2167.5,0.975,18,40.09
flood,236.6,29.2,349.0,forested,1224.5,0.951,19,536.38
flood,8.93,42.3,34.8,urban,1536.5,0.48,3,16.57
wildfire,57.08,28.4,354.8,coastal,1820.7,0.089,21,60.75
flood,136.5,18.3,131.0,coastal,1970.8,0.504,25,183.52
flood,28.53,57.8,25.1,flat,1355.8,0.877,11,93.69
flood,81.39,15.9,284.8,urban,2495.3,0.807,21,89.61
flood,2.12,34.1,109.4,mountainous,1872.0,0.083,21,3.55
wildfire,64.86,16.8,150.7,urban,1316.8,0.716,15,91.01
wildfire,38.33,16.2,113.6,forested,863.7,0.606,28,52.99
wildfire,66.19,23.0,108.7,forested,334.7,0.779,29,115.81
wildfire,32.44,16.2,137.5,forested,173.8,0.908,4,66.41
flood,72.71,52.5,165.1,hilly,983.3,0.341,9,184.31
wildfire,258.61,11.5,254.2,urban,2214.9,0.587,25,259.56
flood,7.86,25.9,225.2,hilly,16.6,0.641,1,15.62
wildfire,1.14,34.4,336.4,forested,1003.6,0.553,8,1.93
wildfire,21.33,25.9,346.3,flat,1259.0,0.486,1,26.74
flood,69.54,61.2,166.0,flat,1461.5,0.943,20,152.54
wildfire,9.57,20.4,195.5,mountainous,121.2,0.681,24,14.4
flood,113.83,19.7,127.5,urban,2966.3,0.397,15,127.91
flood,52.92,47.2,26.5,mountainous,2234.0,0.262,25,87.18
wildfire,97.56,17.8,334.4,urban,372.0,0.889,5,113.21
flood,22.77,42.6,161.4,forested,2362.2,0.664,27,64.32
wildfire,90.2,36.6,96.1,hilly,2937.2,0.848,18,99.42
flood,16.88,0.6,318.7,mountainous,1411.6,0.357,18,18.17
wildfire,20.67,9.6,172.7,hilly,879.3,0.667,18,26.19
wildfire,26.51,48.1,318.6,mountainous,513.5,0.4,24,50.22
flood,96.96,10.2,233.0,mountainous,2570.2,0.38,11,112.25
flood,55.58,7.6,130.9,hilly,2219.5,0.234,11,69.85
wildfire,61.02,26.7,180.9,urban,451.5,0.173,25,84.15
flood,100.74,30.9,41.0,forested,2372.3,0.125,20,260.81
wildfire,59.91,34.6,25.7,hilly,910.8,0.109,28,75.18
wildfire,107.6,10.6,190.9,urban,2916.1,0.402,21,107.6
flood,85.45,13.4,111.9,urban,483.0,0.984,13,89.56
flood,17.48,30.3,263.0,coastal,1892.8,0.039,27,26.81
wildfire,27.77,32.6,42.4,hilly,1884.2,0.281,20,36.11
flood,27.74,42.9,106.0,coastal,373.3,0.621,19,70.01
wildfire,48.6,33.9,302.3,flat,1591.6,0.631,1,80.66
wildfire,23.54,27.1,223.9,hilly,660.7,0.861,15,35.05
wildfire,42.12,44.7,114.6,hilly,275.8,0.755,10,101.64
wildfire,64.46,21.2,203.9,flat,1683.8,0.042,29,64.46
flood,34.14,27.4,268.2,forested,888.9,0.484,26,82.13
flood,34.45,36.3,204.5,urban,424.3,0.831,3,54.46
flood,16.62,46.3,317.1,forested,529.8,0.488,12,43.76
wildfire,71.22,31.8,270.9,flat,2129.7,0.562,8,97.21
flood,2.66,42.1,347.8,mountainous,976.8,0.279,25,3.94
wildfire,33.14,38.7,3.6,mountainous,2499.6,0.653,24,41.62
flood,13.66,36.4,337.3,forested,2426.7,0.51,27,32.45
flood,79.21,1.4,110.3,urban,996.6,0.757,14,111.96
flood,23.68,5.5,261.2,flat,12.0,0.01,6,34.53
wildfire,40.3,32.7,110.2,urban,163.0,0.239,10,42.97
flood,15.97,27.5,96.5,mountainous,1599.6,0.954,1,18.31
wildfire,12.56,14.4,352.5,coastal,2051.7,0.26,15,12.56
wildfire,62.92,14.0,235.0,hilly,1590.3,0.762,12,93.64
wildfire,96.75,45.4,192.4,mountainous,468.2,0.477,21,157.2
wildfire,27.75,9.4,126.1,mountainous,23.1,0.474,28,45.65
flood,98.56,33.8,63.9,urban,16.0,0.804,17,181.43
wildfire,17.34,39.0,49.3,flat,1223.7,0.712,20,39.4
wildfire,15.17,19.4,204.7,hilly,1184.1,0.286,14,15.17
wildfire,92.58,47.9,272.5,urban,844.3,0.909,28,102.49
wildfire,51.52,0.1,78.8,mountainous,928.4,0.284,1,62.08
flood,149.24,26.7,196.7,flat,1515.7,0.492,23,291.59
wildfire,23.88,0.0,52.9,flat,2123.1,0.387,24,23.88
wildfire,9.6,32.7,293.1,forested,891.6,0.648,5,23.32
flood,19.37,8.6,204.3,coastal,617.5,0.674,26,33.68
flood,71.22,0.0,322.3,flat,1541.6,0.059,22,91.22
flood,1.92,33.0,194.6,flat,336.3,0.308,17,5.76
wildfire,2.02,38.3,6.2,flat,557.3,0.989,14,5.42
wildfire,134.31,0.0,17.0,forested,600.9,0.909,7,192.83
flood,29.58,5.3,175.6,flat,177.2,0.339,23,44.96
wildfire,1.4,24.7,67.3,flat,213.1,0.481,11,3.33
wildfire,36.27,8.1,47.9,coastal,56.5,0.263,1,59.31
flood,14.03,8.3,6.2,mountainous,2915.0,0.286,6,14.92
wildfire,24.56,27.6,318.6,hilly,2341.8,0.473,28,28.16
flood,92.64,45.7,30.9,forested,1087.7,0.378,21,245.43
wildfire,17.07,31.0,73.1,urban,2906.0,0.886,24,17.94
flood,2.33,34.8,191.7,hilly,1633.1,0.656,6,4.0
wildfire,27.15,20.5,168.5,hilly,2155.1,0.505,8,27.15
wildfire,61.91,21.4,195.9,forested,2539.2,0.393,5,61.91
flood,45.62,7.0,78.6,hilly,2284.3,0.833,5,47.63
wildfire,1.19,4.5,214.3,urban,1021.0,0.541,6,1.46
wildfire,11.19,38.1,208.1,urban,2020.1,0.065,14,11.19
wildfire,71.2,18.9,312.9,flat,975.4,0.588,8,127.18
wildfire,75.18,32.6,113.6,hilly,653.1,0.067,12,75.18
flood,12.44,24.8,93.0,mountainous,2324.5,0.108,8,17.34
flood,48.48,37.5,209.8,urban,1497.8,0.291,11,82.8
flood,82.36,35.4,163.9,urban,2908.1,0.46,10,135.18
flood,118.81,20.5,29.5,hilly,2052.9,0.439,10,196.26
flood,12.07,14.6,289.0,mountainous,129.6,0.485,29,18.62
wildfire,46.24,3.8,100.2,forested,2013.5,0.221,23,46.24
wildfire,59.37,8.8,342.1,flat,2419.1,0.985,13,59.37
flood,10.61,10.8,333.1,mountainous,2769.5,0.295,14,10.61
wildfire,18.8,37.0,272.5,hilly,1721.1,0.035,10,18.8
wildfire,7.67,15.4,120.9,urban,2553.6,0.08,12,7.67
wildfire,6.54,0.0,2.2,hilly,805.6,0.787,29,8.92
wildfire,95.13,10.8,46.0,flat,1479.8,0.726,23,127.98
flood,192.34,25.6,31.3,mountainous,2245.5,0.482,14,240.17
wildfire,23.18,12.9,307.2,urban,2752.3,0.29,3,23.18
wildfire,32.19,13.3,172.9,urban,781.9,0.24,1,38.58
flood,117.4,33.9,104.6,hilly,2316.5,0.104,4,141.93
wildfire,374.42,50.0,196.0,mountainous,1985.9,0.763,24,432.72
wildfire,5.73,44.5,214.6,forested,2212.1,0.811,4,8.96
wildfire,25.6,52.2,84.3,mountainous,1361.5,0.905,19,60.34
flood,1.31,11.4,153.0,flat,430.2,0.744,11,1.92
wildfire,13.65,13.6,3.1,coastal,2758.0,0.47,12,13.65
wildfire,43.13,17.4,23.5,flat,1917.5,0.636,12,45.22
flood,5.43,46.3,166.5,urban,122.8,0.02,7,7.97
flood,8.61,27.9,21.5,mountainous,264.1,0.186,13,15.31
flood,24.13,20.9,118.5,hilly,2553.4,0.686,20,25.78
flood,17.92,20.5,223.4,flat,1984.5,0.033,13,29.78
flood,61.36,18.9,272.1,hilly,956.6,0.733,7,84.36
wildfire,20.34,15.8,15.9,mountainous,680.3,0.687,8,25.53
flood,40.69,22.7,26.3,forested,569.9,0.369,20,78.39
wildfire,128.42,68.2,301.5,urban,2628.0,0.112,19,130.94
flood,46.4,18.6,276.9,urban,1749.0,0.724,27,63.03
wildfire,64.07,39.8,78.1,forested,2260.4,0.376,22,80.83
flood,57.07,4.5,16.5,hilly,2706.4,0.497,28,65.33
flood,27.55,19.3,48.1,forested,2562.2,0.554,17,46.35
flood,16.08,37.1,192.5,mountainous,1196.0,0.074,8,31.5
flood,7.97,11.1,174.0,flat,1236.1,0.945,12,12.51
flood,24.17,16.3,199.8,forested,2572.9,0.854,3,43.13
flood,9.55,15.0,266.0,coastal,484.0,0.628,4,13.52
flood,15.76,0.0,275.5,hilly,2894.3,0.277,24,16.52
flood,87.46,20.3,286.1,mountainous,2665.1,0.317,18,87.46
flood,25.02,33.1,203.8,flat,942.4,0.324,7,67.07
flood,40.87,21.2,213.0,urban,236.7,0.832,14,56.96
wildfire,53.43,13.3,98.5,mountainous,1652.3,0.707,18,59.31
flood,18.74,31.3,189.6,urban,2262.5,0.526,3,33.02
wildfire,16.11,43.8,166.7,flat,1796.2,0.127,28,23.83
flood,20.8,9.7,157.3,urban,2022.5,0.463,28,32.02
flood,57.45,9.2,147.3,coastal,2325.9,0.413,14,81.86
flood,54.47,6.5,24.8,mountainous,270.9,0.295,16,67.68
flood,7.64,27.6,185.5,coastal,2247.6,0.552,12,13.09
flood,117.48,38.8,224.5,forested,213.2,0.633,23,310.51
wildfire,25.24,20.1,268.0,forested,35.2,0.234,24,53.07
flood,58.18,33.5,296.2,forested,2281.4,0.562,10,93.47
wildfire,8.89,30.3,311.7,forested,706.1,0.279,26,11.73
flood,38.62,44.3,243.3,flat,1714.2,0.109,18,81.69
flood,10.63,25.7,34.8,flat,584.0,0.998,11,23.37
wildfire,127.05,11.3,155.2,coastal,1931.3,0.376,27,128.47
wildfire,76.74,21.8,264.8,mountainous,146.3,0.528,22,131.33
wildfire,28.82,52.4,233.4,flat,2564.3,0.838,4,45.13
flood,6.41,19.7,277.9,mountainous,212.8,0.856,13,9.5
wildfire,27.74,45.7,309.9,coastal,2437.6,0.717,7,36.99
wildfire,1.87,2.0,223.5,forested,1011.6,0.176,5,1.87
wildfire,22.66,16.0,194.8,hilly,866.5,0.522,27,34.13
flood,4.55,30.3,355.4,hilly,2179.7,0.561,1,6.89
wildfire,78.84,36.6,295.7,mountainous,858.4,0.725,9,111.79
flood,102.95,8.4,43.1,flat,2956.1,0.294,16,137.02
flood,40.87,33.7,147.6,flat,1454.3,0.854,3,80.95
flood,98.52,33.4,8.5,mountainous,665.7,0.11,20,160.14
flood,5.82,51.3,348.3,hilly,2712.2,0.885,14,13.14
wildfire,17.18,27.1,114.3,flat,2239.8,0.734,5,21.98
wildfire,21.66,7.8,132.2,urban,2395.2,0.654,24,21.66
wildfire,31.08,9.3,86.9,mountainous,2421.1,0.465,14,31.08
flood,10.36,22.6,43.6,hilly,2238.1,0.814,9,13.47
flood,36.04,17.5,329.7,flat,101.0,0.0,1,89.9
flood,61.25,64.7,219.8,mountainous,2372.4,0.869,9,135.43
flood,83.46,44.1,2.5,hilly,2163.6,0.543,12,146.36
flood,68.4,25.8,336.5,mountainous,2694.2,0.727,9,86.55
flood,5.24,31.8,168.3,hilly,2937.4,0.728,26,6.66
flood,9.8,23.1,353.1,flat,1863.9,0.237,15,19.91
flood,28.45,36.3,271.0,mountainous,1378.3,0.254,12,42.05
flood,13.09,0.0,58.1,urban,2410.4,0.476,5,17.32
flood,74.38,19.2,182.0,forested,2139.1,0.997,20,102.45
wildfire,6.76,12.8,347.7,mountainous,77.5,0.627,29,9.93
wildfire,79.98,21.8,156.8,flat,374.1,0.922,21,136.85
wildfire,87.29,42.4,303.5,hilly,1913.2,0.617,7,140.89
flood,122.77,29.8,191.8,flat,2458.4,0.051,17,224.29
wildfire,52.01,33.9,100.7,mountainous,1555.7,0.323,24,52.01
wildfire,4.21,53.0,270.8,coastal,907.7,0.264,5,7.93
wildfire,6.6,2.8,262.6,forested,1016.9,0.637,22,9.07
flood,106.79,46.9,4.4,urban,2966.4,0.652,13,219.67
wildfire,3.54,50.3,358.1,urban,2533.4,0.376,20,3.54
flood,104.88,21.7,246.6,hilly,2238.0,0.241,19,142.03
wildfire,90.47,38.5,192.4,forested,779.9,0.538,20,244.56
flood,101.84,34.5,119.2,mountainous,2667.8,0.65,18,174.23
flood,55.24,20.5,162.9,flat,2447.0,0.905,14,71.25
wildfire,25.95,16.1,307.5,mountainous,1220.0,0.149,3,28.24
wildfire,115.87,25.4,109.5,urban,2380.7,0.145,20,115.87
wildfire,35.45,24.1,75.1,coastal,1309.0,0.114,21,45.24
wildfire,9.66,31.6,184.7,hilly,1253.8,0.953,17,22.57
wildfire,6.1,25.1,148.7,hilly,106.0,0.313,22,10.7
flood,6.32,23.9,55.6,forested,1597.5,0.756,19,14.86
wildfire,125.79,26.4,338.6,forested,2985.9,0.058,29,125.79
wildfire,67.4,33.6,28.8,coastal,1529.8,0.23,6,81.64
flood,139.27,29.0,290.1,mountainous,538.7,0.03,9,254.13
flood,16.42,29.6,344.1,urban,968.6,0.04,17,28.07
wildfire,60.87,19.6,162.9,forested,1760.3,0.636,22,83.69
flood,117.04,17.8,130.3,urban,2406.1,0.283,21,138.44
flood,80.55,27.3,96.5,flat,313.7,0.753,23,171.58
flood,10.65,31.8,275.1,coastal,800.8,0.609,3,22.6
flood,13.04,26.3,140.5,forested,812.1,0.849,18,31.1
wildfire,80.91,20.5,144.2,forested,344.4,0.301,18,153.78
wildfire,51.75,16.8,333.1,forested,694.6,0.282,4,82.11
flood,36.91,7.6,117.7,forested,1886.6,0.61,17,50.02
flood,391.21,23.4,356.6,hilly,2216.5,0.199,5,633.08
flood,100.8,12.6,234.6,flat,243.7,0.637,23,124.66
wildfire,37.75,6.0,309.8,hilly,235.4,0.396,14,50.12
wildfire,186.03,37.3,52.4,urban,2759.8,0.122,1,186.03
wildfire,18.93,12.1,128.4,hilly,2965.5,0.458,29,18.93
flood,26.88,0.0,150.7,hilly,2641.0,0.373,12,32.72
wildfire,54.2,36.4,203.9,forested,605.7,0.219,29,85.95
wildfire,6.81,22.6,212.7,coastal,2491.5,0.936,11,8.01
flood,48.05,49.6,156.8,mountainous,2240.7,0.275,5,66.27
flood,6.89,18.9,116.4,forested,421.9,0.751,24,10.75
wildfire,28.18,33.7,56.4,hilly,2786.2,0.01,22,28.18
wildfire,22.84,28.4,39.1,mountainous,1452.7,0.151,27,22.84
wildfire,191.08,41.0,216.7,forested,2296.9,0.004,19,191.08
flood,43.07,24.1,115.9,coastal,1319.9,0.759,5,68.54
wildfire,49.49,7.6,189.2,hilly,908.8,0.09,9,59.35
flood,64.8,18.9,105.1,hilly,1522.7,0.216,16,118.03
flood,208.89,26.6,164.5,flat,1853.6,0.125,16,432.68
wildfire,136.94,44.4,332.9,hilly,1122.6,0.571,15,283.99
flood,2.37,5.8,274.1,urban,2771.5,0.985,10,2.89
wildfire,103.4,19.2,104.1,urban,2601.5,0.409,13,103.4
wildfire,23.94,31.6,81.6,coastal,2386.8,0.262,21,25.8
wildfire,2.55,28.9,294.5,flat,2990.5,0.512,24,2.55
flood,166.25,48.2,355.9,coastal,1519.9,0.336,7,358.12
wildfire,125.86,12.2,88.0,flat,605.1,0.068,29,129.15
wildfire,1.19,7.0,279.2,forested,431.9,0.646,12,1.78
wildfire,60.19,28.0,166.0,hilly,2154.7,0.25,17,60.19
wildfire,17.87,15.3,228.1,flat,2028.0,0.778,2,17.97
wildfire,36.37,5.3,39.2,urban,1713.9,0.839,27,43.86
wildfire,20.22,19.8,287.1,flat,339.5,0.99,3,40.58
flood,8.19,38.4,105.6,flat,1999.5,0.503,16,17.77
flood,14.8,49.5,70.1,urban,1055.2,0.009,7,28.43
flood,18.77,25.3,344.3,mountainous,1432.2,0.442,16,30.19
wildfire,32.01,51.6,275.5,hilly,905.9,0.626,11,66.11
flood,89.14,21.8,118.3,coastal,1492.8,0.451,25,167.64
wildfire,34.02,27.4,240.2,flat,2924.7,0.818,8,40.25
flood,58.56,25.9,246.4,urban,1838.6,0.683,26,67.44
flood,55.19,16.7,277.8,mountainous,654.9,0.357,12,86.87
wildfire,97.97,47.6,201.2,flat,2803.8,0.404,3,162.91
flood,28.65,52.8,177.5,urban,1053.8,0.505,5,52.0
wildfire,39.22,15.2,195.8,hilly,2500.5,0.022,19,39.22
wildfire,75.15,28.6,335.5,forested,1283.6,0.701,24,162.44
wildfire,41.15,50.1,59.5,coastal,330.6,0.013,22,76.65
wildfire,156.65,4.1,229.9,flat,1162.5,0.566,12,156.65
wildfire,42.8,29.6,125.5,coastal,1392.5,0.358,11,51.51
flood,57.3,10.1,15.8,coastal,1421.6,0.165,27,66.82
wildfire,3.69,9.6,333.7,coastal,563.9,0.919,18,5.49
wildfire,84.72,31.7,96.2,urban,2904.5,0.607,22,84.72
flood,40.91,0.0,337.7,urban,2971.6,0.706,22,40.91
flood,9.61,18.8,335.9,mountainous,364.1,0.738,14,12.91
flood,11.11,19.9,3.0,flat,2426.2,0.077,28,15.96
flood,67.42,49.3,295.3,forested,1500.4,0.379,7,116.21
wildfire,34.1,42.4,303.6,hilly,2196.9,0.464,10,41.95
flood,265.71,25.2,305.5,flat,243.1,0.709,20,532.63
flood,66.04,13.8,248.3,mountainous,870.6,0.283,12,128.62
flood,72.23,37.6,12.3,hilly,2559.9,0.851,25,78.49
wildfire,2.29,23.7,292.0,urban,428.2,0.412,7,2.33
flood,51.94,47.9,173.0,urban,310.7,0.533,12,109.36
flood,38.52,31.8,95.6,forested,2656.7,0.47,17,101.85
wildfire,48.76,20.5,222.5,mountainous,2550.7,0.456,11,48.76
wildfire,26.13,38.9,272.8,forested,1728.0,0.936,2,56.05
flood,48.6,38.4,257.1,forested,508.3,0.124,15,151.72
flood,270.29,53.2,303.8,urban,636.2,0.097,3,684.58
flood,8.19,28.9,151.7,hilly,2519.6,0.819,21,16.91
wildfire,55.11,41.0,234.4,forested,1680.6,0.164,19,84.0
wildfire,49.26,10.9,48.3,forested,1304.9,0.73,5,73.7
flood,3.66,30.5,94.4,coastal,1335.1,0.5,19,6.28
wildfire,329.99,14.2,247.1,flat,775.0,0.351,27,396.58
wildfire,39.98,19.7,305.5,mountainous,2391.2,0.704,11,41.01
flood,51.5,28.0,335.6,flat,867.1,0.361,6,115.23
flood,3.36,9.5,278.0,mountainous,939.8,0.053,19,3.41
flood,24.7,32.2,203.9,coastal,1275.0,0.112,6,36.75
wildfire,3.26,13.5,123.8,flat,1930.9,0.911,7,3.92
wildfire,8.84,44.0,35.1,hilly,1154.0,0.991,15,14.27
wildfire,25.38,39.9,53.1,coastal,1943.8,0.398,28,28.98
wildfire,77.53,10.8,113.3,hilly,2051.1,0.245,18,77.53
wildfire,103.24,32.1,253.5,coastal,1633.9,0.755,22,168.54
wildfire,18.52,13.3,246.7,coastal,1713.4,0.88,25,24.63
wildfire,72.3,24.5,276.6,forested,1294.4,0.409,29,104.56
wildfire,88.65,32.3,55.5,mountainous,2185.4,0.156,3,107.43
wildfire,10.32,0.0,223.7,mountainous,296.4,0.484,29,14.78
flood,15.88,46.9,31.0,hilly,1172.5,0.135,15,33.16
flood,7.58,31.4,99.9,mountainous,2892.6,0.244,23,14.0
flood,103.11,30.9,124.4,coastal,2570.0,0.689,11,153.2
flood,49.88,30.7,329.5,coastal,366.3,0.462,21,124.77
wildfire,54.02,11.4,281.3,urban,670.0,0.334,16,72.13
wildfire,18.0,20.3,114.5,mountainous,2211.6,0.689,24,18.0
flood,128.58,17.0,22.3,flat,1592.7,0.848,20,184.55
flood,47.07,28.0,308.1,urban,1107.6,0.51,26,85.02
wildfire,13.34,24.4,146.7,urban,2237.1,0.393,27,13.34
flood,18.01,26.0,128.4,forested,2945.4,0.363,11,30.87
wildfire,138.06,2.6,68.3,hilly,1533.5,0.208,23,138.06
flood,12.6,34.3,317.0,urban,2912.7,0.044,26,19.63
wildfire,93.09,3.0,196.5,mountainous,1755.0,0.056,27,93.09
wildfire,21.48,30.6,145.1,flat,372.7,0.253,1,35.63
flood,20.77,13.7,178.0,urban,907.7,0.248,3,25.17
flood,6.67,5.2,52.3,urban,1681.4,0.972,14,7.88
wildfire,34.43,34.6,156.5,coastal,645.2,0.016,14,53.42
flood,5.3,43.8,166.0,hilly,2509.8,0.779,19,10.67
flood,65.63,36.0,317.9,mountainous,869.2,0.442,21,95.38
wildfire,74.66,31.4,171.6,flat,1200.8,0.721,7,131.54
flood,15.43,33.6,190.0,mountainous,1423.6,0.532,25,23.41
wildfire,27.99,36.8,220.0,coastal,2217.2,0.52,15,27.99
wildfire,71.46,26.9,21.6,flat,1805.2,0.886,21,114.62
flood,64.88,11.3,50.1,urban,1811.0,0.723,20,98.94
wildfire,66.77,24.1,24.4,forested,2690.2,0.863,19,104.21
wildfire,48.63,26.3,294.0,urban,992.5,0.512,9,63.66
wildfire,56.14,26.1,200.4,coastal,2319.9,0.063,26,56.14
flood,21.62,52.9,158.0,mountainous,2811.5,0.816,17,46.59
wildfire,94.54,24.4,33.1,forested,2201.0,0.172,17,108.61
flood,31.52,29.7,65.1,coastal,76.3,0.707,18,72.99
flood,24.92,0.0,106.3,hilly,2964.3,0.868,22,24.92
flood,46.15,26.8,233.1,forested,620.5,0.92,4,100.56
wildfire,9.29,31.4,181.3,forested,1904.3,0.184,1,11.84
flood,15.9,10.8,227.6,hilly,731.4,0.262,29,28.43
flood,84.97,24.7,330.7,hilly,981.4,0.944,13,164.87
flood,6.61,24.3,359.8,forested,1049.5,0.372,12,11.72
flood,88.08,0.0,173.8,mountainous,76.6,0.745,16,88.08
flood,35.34,4.8,153.2,hilly,1717.1,0.775,28,49.38
flood,31.08,46.0,152.0,hilly,1787.3,0.763,17,59.17
flood,78.03,14.2,22.9,flat,2221.1,0.126,17,114.11
wildfire,14.52,0.0,262.9,coastal,1985.8,0.576,22,14.52
flood,60.48,11.8,114.9,forested,182.2,0.372,11,100.7
wildfire,8.22,0.0,308.5,forested,1782.8,0.308,5,8.22
wildfire,143.87,3.6,117.9,hilly,381.2,0.003,22,163.36
wildfire,81.78,13.2,204.9,flat,2107.9,0.93,21,107.67
flood,47.43,52.3,64.5,mountainous,1995.5,0.459,9,114.18
flood,37.94,36.2,120.3,coastal,2182.1,0.893,18,77.77
flood,43.05,33.8,248.0,urban,751.3,0.515,26,82.41
wildfire,3.84,28.4,160.6,urban,744.1,0.963,4,6.68
flood,125.19,24.4,195.1,coastal,1633.9,0.92,13,218.24
wildfire,6.26,0.0,279.3,hilly,140.4,0.974,4,10.78
wildfire,10.4,10.6,192.2,mountainous,2865.1,0.109,6,10.4
flood,2.35,15.2,124.0,mountainous,797.4,0.555,14,3.6
